state,date,admission,maskwearing,delphi_samplesize,maskwearing_stderr,symptom,symptoms_stderr
id,2021-06-02,10.8571429,1.0744192,1196.048,0.3110792,1.0744192,0.3110792
il,2021-06-02,97.5714286,0.8663222,6931.0207,0.1439517,0.8663222,0.1439517
in,2021-06-02,66.8571429,1.3407948,3901.0035,0.3566119,1.3407948,0.3566119
ks,2021-06-02,15.5714286,1.0105644,1754.0288,0.326182,1.0105644,0.326182
ky,2021-06-02,99,0.7668493,2534.4421,0.2899663,0.7668493,0.2899663
la,2021-06-02,59.2857143,1.5518986,2273.9983,0.31384,1.5518986,0.31384
ma,2021-06-02,23.4285714,0.3948912,3337.0155,0.1065574,0.3948912,0.1065574
md,2021-06-02,43.7142857,0.3560535,2831.9913,0.1090035,0.3560535,0.1090035
me,2021-06-02,9.1428571,0.8808947,1336,0.4646218,0.8808947,0.4646218
mi,2021-06-02,90,0.9112741,7589.994,0.1453322,0.9112741,0.1453322
mn,2021-06-02,29.1428571,0.5158041,2823.6878,0.1301978,0.5158041,0.1301978
mo,2021-06-02,55.8571429,0.8160839,3099.8796,0.1504818,0.8160839,0.1504818
ms,2021-06-02,30,0.719873,1487.1445,0.2590102,0.719873,0.2590102
mt,2021-06-02,18.7142857,0.678127,807.8782,0.2348606,0.678127,0.2348606
nc,2021-06-02,72.1428571,0.8268898,5134.0077,0.1819975,0.8268898,0.1819975
nd,2021-06-02,3.2857143,0.4990785,428.5015,0.2863605,0.4990785,0.2863605
ne,2021-06-02,6.4285714,0.8469123,1178.6728,0.3061626,0.8469123,0.3061626
nh,2021-06-02,4.7142857,0.6801632,1146,0.2563085,0.6801632,0.2563085
nj,2021-06-02,51.2857143,0.5708156,4111.9984,0.140419,0.5708156,0.140419
nm,2021-06-02,17.5714286,0.5771907,1616.2801,0.3355827,0.5771907,0.3355827
nv,2021-06-02,24.7142857,0.4283459,1323.8799,0.153852,0.4283459,0.153852
ny,2021-06-02,111.2857143,0.6282913,8761.0011,0.1029257,0.6282913,0.1029257
oh,2021-06-02,104.2857143,1.0785226,6926.9999,0.1688667,1.0785226,0.1688667
ok,2021-06-02,28.2857143,0.8470935,2067.9984,0.2007062,0.8470935,0.2007062
or,2021-06-02,25.4285714,0.5789186,3032.0275,0.1581795,0.5789186,0.1581795
pa,2021-06-02,108,0.7970177,7645.0039,0.1169404,0.7970177,0.1169404
pr,2021-06-02,5.7142857,,,,,
ri,2021-06-02,3.2857143,0.5872116,759.9845,0.3232931,0.5872116,0.3232931
sc,2021-06-02,21.7142857,0.9540081,3081.0012,0.1903265,0.9540081,0.1903265
sd,2021-06-02,4,0.7729149,611.65,0.3559783,0.7729149,0.3559783
tn,2021-06-02,40.4285714,0.6771833,3538.5388,0.154525,0.6771833,0.154525
tx,2021-06-02,225.8571429,0.7877241,11425.9059,0.1069652,0.7877241,0.1069652
ut,2021-06-02,23.4285714,0.659673,1594.1485,0.216411,0.659673,0.216411
va,2021-06-02,43,0.5439687,4956.439,0.1108304,0.5439687,0.1108304
vi,2021-06-02,0.1428571,,,,,
vt,2021-06-02,1.2857143,0.6083122,576.0007,0.3036866,0.6083122,0.3036866
wa,2021-06-02,50.8571429,0.6886668,4806.9701,0.1581547,0.6886668,0.1581547
wi,2021-06-02,40.5714286,0.9748032,3560.0052,0.2071553,0.9748032,0.2071553
wv,2021-06-02,22.5714286,1.6628998,1376.0053,0.8763339,1.6628998,0.8763339
wy,2021-06-02,11.1428571,0.9024633,395.9349,0.4607075,0.9024633,0.4607075
ak,2021-06-03,3,0.6145506,525,0.3465022,0.6145506,0.3465022
al,2021-06-03,40.8571429,1.4923669,2481.0583,0.2894446,1.4923669,0.2894446
ar,2021-06-03,31.5714286,1.0841544,1680.1801,0.2447698,1.0841544,0.2447698
az,2021-06-03,56.8571429,0.7639481,3869.7486,0.1989134,0.7639481,0.1989134
ca,2021-06-03,157.7142857,0.577923,15464.1177,0.0677237,0.577923,0.0677237
co,2021-06-03,68.4285714,0.8022305,3420.8734,0.1695989,0.8022305,0.1695989
ct,2021-06-03,16.8571429,0.8436185,2486,0.1915052,0.8436185,0.1915052
dc,2021-06-03,6.7142857,0.8239454,281,0.6356326,0.8239454,0.6356326
de,2021-06-03,6,0.6429974,753.0073,0.3888917,0.6429974,0.3888917
fl,2021-06-03,277,0.6050294,11387.0004,0.0756137,0.6050294,0.0756137
ga,2021-06-03,101.7142857,0.9143069,4155.9416,0.1590186,0.9143069,0.1590186
hi,2021-06-03,4,0.3081853,798,0.1889445,0.3081853,0.1889445
ia,2021-06-03,13.8571429,0.9608776,2360.3781,0.2393525,0.9608776,0.2393525
id,2021-06-03,11.7142857,0.8673517,1209.0474,0.2722941,0.8673517,0.2722941
il,2021-06-03,94.2857143,0.8776819,7033.0206,0.142313,0.8776819,0.142313
in,2021-06-03,60.5714286,0.967154,3989.0064,0.2051165,0.967154,0.2051165
ks,2021-06-03,15.5714286,0.8570977,1754.0291,0.3081697,0.8570977,0.3081697
ky,2021-06-03,98.1428571,0.7483163,2621.4421,0.2857885,0.7483163,0.2857885
la,2021-06-03,49.8571429,1.2938241,2410.9987,0.2914716,1.2938241,0.2914716
ma,2021-06-03,22.7142857,0.3844297,3416.018,0.1021353,0.3844297,0.1021353
md,2021-06-03,42.4285714,0.4546809,2907.9914,0.1195721,0.4546809,0.1195721
me,2021-06-03,8,1.1089533,1357,0.4832356,1.1089533,0.4832356
mi,2021-06-03,87.2857143,0.815288,7761.9944,0.1391609,0.815288,0.1391609
mn,2021-06-03,27.1428571,0.449488,2865.0641,0.1204967,0.449488,0.1204967
mo,2021-06-03,57.2857143,0.7232037,3199.0298,0.1317361,0.7232037,0.1317361
ms,2021-06-03,30.4285714,0.741544,1523.4473,0.279274,0.741544,0.279274
mt,2021-06-03,17.7142857,0.6927316,819.8974,0.2564163,0.6927316,0.2564163
nc,2021-06-03,67.4285714,0.8876899,5285.0082,0.1950262,0.8876899,0.1950262
nd,2021-06-03,3,0.4507116,444.4843,0.3096749,0.4507116,0.3096749
ne,2021-06-03,5.8571429,1.2742785,1203.7978,0.3990134,1.2742785,0.3990134
nh,2021-06-03,3.7142857,0.441711,1175,0.1749079,0.441711,0.1749079
nj,2021-06-03,48.8571429,0.6197401,4194.9984,0.1726214,0.6197401,0.1726214
nm,2021-06-03,15,0.8540852,1674.233,0.3691108,0.8540852,0.3691108
nv,2021-06-03,25.1428571,0.427615,1347.8828,0.1522433,0.427615,0.1522433
ny,2021-06-03,109,0.5729375,9060,0.0937679,0.5729375,0.0937679
oh,2021-06-03,100.5714286,1.1883275,7142.9973,0.1795321,1.1883275,0.1795321
ok,2021-06-03,27.8571429,0.9281442,2088.9987,0.2072678,0.9281442,0.2072678
or,2021-06-03,25.2857143,0.7235362,3012.032,0.1832744,0.7235362,0.1832744
pa,2021-06-03,102,0.7613318,7848.0039,0.1130806,0.7613318,0.1130806
pr,2021-06-03,6.4285714,,,,,
ri,2021-06-03,2.7142857,0.5813618,800.982,0.3198874,0.5813618,0.3198874
sc,2021-06-03,22.1428571,0.8217648,3156.0013,0.1721734,0.8217648,0.1721734
sd,2021-06-03,4,0.9588453,625.0974,0.3968271,0.9588453,0.3968271
tn,2021-06-03,39.2857143,0.6494155,3634.5391,0.1560114,0.6494155,0.1560114
tx,2021-06-03,224.1428571,0.7600772,11734.9085,0.0950405,0.7600772,0.0950405
ut,2021-06-03,22.7142857,0.6639389,1661.2511,0.2144495,0.6639389,0.2144495
va,2021-06-03,41.2857143,0.6137045,5108.9743,0.1190516,0.6137045,0.1190516
vi,2021-06-03,0.1428571,,,,,
vt,2021-06-03,1.1428571,0.5682756,598.0008,0.2936299,0.5682756,0.2936299
wa,2021-06-03,51.5714286,0.7723269,4894.9668,0.1672202,0.7723269,0.1672202
wi,2021-06-03,39.8571429,1.0539626,3600.0051,0.2146551,1.0539626,0.2146551
wv,2021-06-03,21.2857143,1.6243653,1423.0055,0.8666327,1.6243653,0.8666327
wy,2021-06-03,11,1.1416135,401.9588,0.5264751,1.1416135,0.5264751
ak,2021-06-04,3.5714286,0.242715,498,0.2333484,0.242715,0.2333484
al,2021-06-04,38.8571429,1.4766649,2573.0711,0.2899913,1.4766649,0.2899913
ar,2021-06-04,32.7142857,1.1227343,1672.0019,0.2508204,1.1227343,0.2508204
az,2021-06-04,54.8571429,0.8737463,3927.7486,0.1819707,0.8737463,0.1819707
ca,2021-06-04,159.7142857,0.5982325,15718.2433,0.0687497,0.5982325,0.0687497
co,2021-06-04,67.1428571,0.8673131,3480.8425,0.1723364,0.8673131,0.1723364
ct,2021-06-04,16.4285714,0.7636254,2507,0.1773825,0.7636254,0.1773825
dc,2021-06-04,7.7142857,0.8212719,280,0.6347165,0.8212719,0.6347165
de,2021-06-04,5.4285714,0.6845212,783.0073,0.3867038,0.6845212,0.3867038
fl,2021-06-04,269.8571429,0.7288526,11498.0006,0.0843519,0.7288526,0.0843519
ga,2021-06-04,102,0.9434946,4222.9402,0.1617711,0.9434946,0.1617711
hi,2021-06-04,3.4285714,0.3131319,771,0.1915554,0.3131319,0.1915554
ia,2021-06-04,13,0.9223639,2388.3319,0.2350567,0.9223639,0.2350567
id,2021-06-04,11.1428571,0.8830723,1203.0657,0.2766801,0.8830723,0.2766801
il,2021-06-04,91.1428571,0.7001952,7113.0208,0.1009962,0.7001952,0.1009962
in,2021-06-04,57.4285714,0.9949761,3999.0061,0.2072689,0.9949761,0.2072689
ks,2021-06-04,15.4285714,0.698781,1735.0288,0.1978528,0.698781,0.1978528
ky,2021-06-04,97,0.8246912,2658.128,0.2901804,0.8246912,0.2901804
la,2021-06-04,49.2857143,1.3871319,2479.1835,0.3040112,1.3871319,0.3040112
ma,2021-06-04,21.2857143,0.5922983,3427.0155,0.2204545,0.5922983,0.2204545
md,2021-06-04,44.2857143,0.4466727,2886.9914,0.1206661,0.4466727,0.1206661
me,2021-06-04,7.4285714,1.1909025,1389,0.4872792,1.1909025,0.4872792
mi,2021-06-04,82.1428571,0.8316934,7737.9955,0.141141,0.8316934,0.141141
mn,2021-06-04,26.8571429,0.4482175,2877.1903,0.1146135,0.4482175,0.1146135
mo,2021-06-04,57,0.9091274,3252.0228,0.2102852,0.9091274,0.2102852
ms,2021-06-04,31.2857143,0.6891658,1564.4619,0.2578362,0.6891658,0.2578362
mt,2021-06-04,17.4285714,0.7594087,832.8611,0.267254,0.7594087,0.267254
nc,2021-06-04,66.4285714,1.0226835,5362.0086,0.2223223,1.0226835,0.2223223
nd,2021-06-04,3.8571429,0.4361013,443.248,0.3002955,0.4361013,0.3002955
ne,2021-06-04,5.4285714,1.0847984,1222.9061,0.366351,1.0847984,0.366351
nh,2021-06-04,4,0.3928851,1152,0.170491,0.3928851,0.170491
nj,2021-06-04,47.8571429,0.5462978,4285.9985,0.1617703,0.5462978,0.1617703
nm,2021-06-04,14.4285714,0.9569762,1694.2627,0.3827935,0.9569762,0.3827935
nv,2021-06-04,25.1428571,0.6079602,1357.7572,0.1937115,0.6079602,0.1937115
ny,2021-06-04,102.7142857,0.5357055,9062.9999,0.0913163,0.5357055,0.0913163
oh,2021-06-04,99.1428571,1.0365137,7174.9981,0.168326,1.0365137,0.168326
ok,2021-06-04,25.5714286,0.9393401,2059.9986,0.2205166,0.9393401,0.2205166
or,2021-06-04,25.8571429,0.7360697,3060.0297,0.1759185,0.7360697,0.1759185
pa,2021-06-04,97.7142857,0.7018236,7845.0039,0.1048481,0.7018236,0.1048481
pr,2021-06-04,5.7142857,,,,,
ri,2021-06-04,2.2857143,0.4894707,790.9845,0.2597426,0.4894707,0.2597426
sc,2021-06-04,20.8571429,0.7549905,3203.0022,0.1549125,0.7549905,0.1549125
sd,2021-06-04,4,0.7901098,613.1728,0.3592643,0.7901098,0.3592643
tn,2021-06-04,37.7142857,0.5755405,3675.8631,0.1439355,0.5755405,0.1439355
tx,2021-06-04,224.1428571,0.7353419,11894.9089,0.0923434,0.7353419,0.0923434
ut,2021-06-04,23.2857143,0.7074547,1672.2535,0.2317688,0.7074547,0.2317688
va,2021-06-04,37.2857143,0.7572257,5057.8118,0.1615174,0.7572257,0.1615174
vi,2021-06-04,0.1428571,,,,,
vt,2021-06-04,0.8571429,0.7157235,592.0009,0.3161187,0.7157235,0.3161187
wa,2021-06-04,55.2857143,0.8349751,4917.9689,0.1836056,0.8349751,0.1836056
wi,2021-06-04,39.4285714,0.9125341,3543.0045,0.1940726,0.9125341,0.1940726
wv,2021-06-04,19.1428571,1.4874589,1426.0055,0.8628464,1.4874589,0.8628464
wy,2021-06-04,11.2857143,1.2783573,390.9482,0.5881217,1.2783573,0.5881217
ak,2021-06-05,3.4285714,0.2411739,483,0.230981,0.2411739,0.230981
al,2021-06-05,37.5714286,1.567792,2565.0704,0.3071962,1.567792,0.3071962
ar,2021-06-05,33.7142857,1.3467252,1689.9343,0.2816886,1.3467252,0.2816886
az,2021-06-05,54.4285714,0.9842159,3922.7486,0.1941973,0.9842159,0.1941973
ca,2021-06-05,158.7142857,0.6047283,15619.18,0.0694413,0.6047283,0.0694413
co,2021-06-05,66.2857143,0.918865,3467.8417,0.1773182,0.918865,0.1773182
ct,2021-06-05,15.7142857,0.67941,2484,0.1683705,0.67941,0.1683705
dc,2021-06-05,7.8571429,0.5442223,289,0.5699633,0.5442223,0.5699633
de,2021-06-05,5.5714286,0.8604256,791.0073,0.4055727,0.8604256,0.4055727
fl,2021-06-05,263.1428571,0.7421673,11522.0018,0.0844313,0.7421673,0.0844313
ga,2021-06-05,99.8571429,1.0403333,4222.9421,0.167728,1.0403333,0.167728
hi,2021-06-05,3.1428571,0.3186905,791,0.1893778,0.3186905,0.1893778
ia,2021-06-05,13.2857143,0.8068722,2422.3434,0.2324274,0.8068722,0.2324274
id,2021-06-05,10.8571429,0.9249582,1184.0572,0.2776346,0.9249582,0.2776346
il,2021-06-05,89.4285714,0.7389719,7025.0432,0.1108313,0.7389719,0.1108313
in,2021-06-05,54.8571429,1.0161873,3954.0058,0.2111621,1.0161873,0.2111621
ks,2021-06-05,14.7142857,0.8143893,1739.029,0.228315,0.8143893,0.228315
ky,2021-06-05,97.5714286,0.8215682,2623.4432,0.2906763,0.8215682,0.2906763
la,2021-06-05,47.4285714,1.4111379,2494.1834,0.3053971,1.4111379,0.3053971
ma,2021-06-05,20.4285714,0.6597358,3388.017,0.2274509,0.6597358,0.2274509
md,2021-06-05,42.4285714,0.5155365,2874.9913,0.1283873,0.5155365,0.1283873
me,2021-06-05,7.5714286,1.1408947,1370,0.481248,1.1408947,0.481248
mi,2021-06-05,77.4285714,0.8122978,7589.9967,0.1255761,0.8122978,0.1255761
mn,2021-06-05,27.2857143,0.4625012,2862.1787,0.1168294,0.4625012,0.1168294
mo,2021-06-05,57.5714286,0.8994797,3183.0673,0.211133,0.8994797,0.211133
ms,2021-06-05,31.4285714,0.9036342,1567.6121,0.2851823,0.9036342,0.2851823
mt,2021-06-05,17.4285714,0.6121452,803.6163,0.2418421,0.6121452,0.2418421
nc,2021-06-05,64.7142857,0.9839487,5321.0079,0.2231693,0.9839487,0.2231693
nd,2021-06-05,4.1428571,0.4549227,415.4808,0.3141872,0.4549227,0.3141872
ne,2021-06-05,5.4285714,1.0714644,1238.9036,0.3618168,1.0714644,0.3618168
nh,2021-06-05,3.8571429,0.408263,1135,0.1691816,0.408263,0.1691816
nj,2021-06-05,46.5714286,0.506595,4249.9983,0.1581677,0.506595,0.1581677
nm,2021-06-05,14.7142857,0.6484495,1648.2587,0.2345211,0.6484495,0.2345211
nv,2021-06-05,26.5714286,0.5353198,1386.8205,0.1801961,0.5353198,0.1801961
ny,2021-06-05,99.8571429,0.4583146,8957.0002,0.087874,0.4583146,0.087874
oh,2021-06-05,91.4285714,0.973669,7049.9983,0.1643073,0.973669,0.1643073
ok,2021-06-05,23.7142857,0.7642216,2056.7555,0.194463,0.7642216,0.194463
or,2021-06-05,26.4285714,0.882931,3016.0326,0.2059699,0.882931,0.2059699
pa,2021-06-05,95.1428571,0.6631247,7678.004,0.0989726,0.6631247,0.0989726
pr,2021-06-05,5.1428571,,,,,
ri,2021-06-05,2.4285714,0.6066761,741.983,0.2855674,0.6066761,0.2855674
sc,2021-06-05,20.2857143,0.7859781,3193.0018,0.1599156,0.7859781,0.1599156
sd,2021-06-05,4.1428571,0.5287876,600.1839,0.2802234,0.5287876,0.2802234
tn,2021-06-05,36.1428571,0.5453899,3652.5382,0.1351987,0.5453899,0.1351987
tx,2021-06-05,226.8571429,0.7582807,11860.1558,0.1015799,0.7582807,0.1015799
ut,2021-06-05,22,1.1320614,1699.2583,0.3351961,1.1320614,0.3351961
va,2021-06-05,35,0.7247881,5001.2051,0.159274,0.7247881,0.159274
vi,2021-06-05,0.1428571,,,,,
vt,2021-06-05,0.8571429,0.603741,570.0009,0.3085893,0.603741,0.3085893
wa,2021-06-05,55.2857143,0.919422,4926.9656,0.2040933,0.919422,0.2040933
wi,2021-06-05,38,0.8135639,3555.0041,0.1823557,0.8135639,0.1823557
wv,2021-06-05,17.7142857,1.4102513,1394.0554,0.8541816,1.4102513,0.8541816
wy,2021-06-05,10.8571429,1.8805756,392.9569,0.6921287,1.8805756,0.6921287
ak,2021-06-06,2.8571429,0.2408056,469,0.2358745,0.2408056,0.2358745
al,2021-06-06,34,1.2742906,2536.076,0.2638189,1.2742906,0.2638189
ar,2021-06-06,33.2857143,1.3216672,1735.5892,0.2838366,1.3216672,0.2838366
az,2021-06-06,54,1.0914608,3900.0023,0.2073597,1.0914608,0.2073597
ca,2021-06-06,157.7142857,0.5694526,15622.1963,0.0642901,0.5694526,0.0642901
co,2021-06-06,64.1428571,0.8039605,3396.8702,0.1662251,0.8039605,0.1662251
ct,2021-06-06,14.7142857,0.5777079,2482,0.1449918,0.5777079,0.1449918
dc,2021-06-06,6.8571429,0.5536786,279,0.5800257,0.5536786,0.5800257
de,2021-06-06,5.8571429,0.8642746,778,0.4079981,0.8642746,0.4079981
fl,2021-06-06,257.5714286,0.8357041,11497.0019,0.0893438,0.8357041,0.0893438
ga,2021-06-06,101.7142857,1.1004263,4256.9368,0.2069109,1.1004263,0.2069109
hi,2021-06-06,3,0.2833792,785,0.2063709,0.2833792,0.2063709
ia,2021-06-06,13,0.7666747,2390.3203,0.2228887,0.7666747,0.2228887
id,2021-06-06,10.8571429,1.1365016,1166.0664,0.3158555,1.1365016,0.3158555
il,2021-06-06,89.1428571,0.6937172,7035.0435,0.1078196,0.6937172,0.1078196
in,2021-06-06,51.5714286,1.0462541,3944.0066,0.2093361,1.0462541,0.2093361
ks,2021-06-06,14,0.6961761,1716.0288,0.215976,0.6961761,0.215976
ky,2021-06-06,98.2857143,0.7907711,2600.4458,0.2887162,0.7907711,0.2887162
la,2021-06-06,46.4285714,1.2964984,2478.3685,0.2881772,1.2964984,0.2881772
ma,2021-06-06,18.1428571,0.7492104,3298.0145,0.237711,0.7492104,0.237711
md,2021-06-06,39,0.5897997,2842.9986,0.1331035,0.5897997,0.1331035
me,2021-06-06,7.2857143,0.6935568,1338,0.2434409,0.6935568,0.2434409
mi,2021-06-06,75,0.8260793,7535.9973,0.1246877,0.8260793,0.1246877
mn,2021-06-06,25.2857143,0.4217521,2861.1464,0.1026239,0.4217521,0.1026239
mo,2021-06-06,60.1428571,0.9354169,3166.0535,0.2308425,0.9354169,0.2308425
ms,2021-06-06,31.7142857,0.8676142,1562.6117,0.283458,0.8676142,0.283458
mt,2021-06-06,17,0.5164715,803.6595,0.2218791,0.5164715,0.2218791
nc,2021-06-06,63.2857143,1.0207887,5319.0075,0.2276378,1.0207887,0.2276378
nd,2021-06-06,4.1428571,0.9818893,427.4919,0.4268556,0.9818893,0.4268556
ne,2021-06-06,5.2857143,0.9653226,1239.8153,0.3456287,0.9653226,0.3456287
nh,2021-06-06,4.2857143,0.3304513,1089,0.1607517,0.3304513,0.1607517
nj,2021-06-06,46.1428571,0.5314784,4175.9985,0.1649776,0.5314784,0.1649776
nm,2021-06-06,14.7142857,0.8037018,1638.7719,0.2491747,0.8037018,0.2491747
nv,2021-06-06,29,0.4099275,1382.804,0.1672941,0.4099275,0.1672941
ny,2021-06-06,95.7142857,0.441306,8819.0001,0.0853423,0.441306,0.0853423
oh,2021-06-06,89.8571429,0.8718898,7007.999,0.1465243,0.8718898,0.1465243
ok,2021-06-06,24.5714286,0.8692227,2028.7554,0.201932,0.8692227,0.201932
or,2021-06-06,24.5714286,0.9924228,3034.0296,0.2324857,0.9924228,0.2324857
pa,2021-06-06,92.2857143,0.6176842,7429.0041,0.094083,0.6176842,0.094083
pr,2021-06-06,5,,,,,
ri,2021-06-06,2.4285714,0.5619204,712.9855,0.2622096,0.5619204,0.2622096
sc,2021-06-06,18,0.8274181,3156.0025,0.1643248,0.8274181,0.1643248
sd,2021-06-06,4.4285714,0.5706257,597.2735,0.2869947,0.5706257,0.2869947
tn,2021-06-06,35,0.6600722,3604.7075,0.1521347,0.6600722,0.1521347
tx,2021-06-06,225.1428571,0.8177536,11814.2579,0.1093634,0.8177536,0.1093634
ut,2021-06-06,23.4285714,1.1059815,1722.3609,0.3330502,1.1059815,0.3330502
va,2021-06-06,32.7142857,0.729774,4931.0348,0.1603464,0.729774,0.1603464
vi,2021-06-06,0.1428571,,,,,
vt,2021-06-06,0.8571429,0.4248531,559.0011,0.2470177,0.4248531,0.2470177
wa,2021-06-06,57.2857143,0.8900303,4934.9692,0.2011727,0.8900303,0.2011727
wi,2021-06-06,37.7142857,0.7827388,3526.004,0.1793859,0.7827388,0.1793859
wv,2021-06-06,16.8571429,1.3878285,1373.0547,0.8514932,1.3878285,0.8514932
wy,2021-06-06,10.7142857,1.8593216,399.9453,0.6800162,1.8593216,0.6800162
ak,2021-06-07,2.8571429,1.2414043,478,1.0123298,1.2414043,1.0123298
al,2021-06-07,35.7142857,1.1511144,2542.0829,0.2552335,1.1511144,0.2552335
ar,2021-06-07,37,1.0675141,1732.5834,0.2513025,1.0675141,0.2513025
az,2021-06-07,52.8571429,1.0576485,3850.8879,0.2084899,1.0576485,0.2084899
ca,2021-06-07,160.4285714,0.6552698,15442.1993,0.0703572,0.6552698,0.0703572
co,2021-06-07,64.8571429,0.6431702,3302.8746,0.1388529,0.6431702,0.1388529
ct,2021-06-07,14.2857143,0.6874306,2417,0.2155864,0.6874306,0.2155864
dc,2021-06-07,6,0.5609802,272,0.587553,0.5609802,0.587553
de,2021-06-07,5.1428571,0.9149548,778,0.4110647,0.9149548,0.4110647
fl,2021-06-07,262.8571429,0.8674382,11450.0015,0.0935677,0.8674382,0.0935677
ga,2021-06-07,103.2857143,1.010817,4270.9368,0.1960338,1.010817,0.1960338
hi,2021-06-07,2.2857143,0.2818308,798,0.2060904,0.2818308,0.2060904
ia,2021-06-07,14,0.79222,2369.2672,0.2275108,0.79222,0.2275108
id,2021-06-07,11.5714286,1.0282723,1146.0472,0.3196424,1.0282723,0.3196424
il,2021-06-07,85,0.7128236,6984.0218,0.1077626,0.7128236,0.1077626
in,2021-06-07,49.8571429,0.9524551,3857.0046,0.1685945,0.9524551,0.1685945
ks,2021-06-07,14.8571429,0.7393277,1662.9996,0.2209781,0.7393277,0.2209781
ky,2021-06-07,103.1428571,0.9807873,2602.1392,0.3082091,0.9807873,0.3082091
la,2021-06-07,45.5714286,1.1658376,2430.3691,0.2616518,1.1658376,0.2616518
ma,2021-06-07,19,0.7965698,3228.0135,0.2382883,0.7965698,0.2382883
md,2021-06-07,37,0.565438,2838.9987,0.1292157,0.565438,0.1292157
me,2021-06-07,6.7142857,0.7411044,1327,0.2490003,0.7411044,0.2490003
mi,2021-06-07,74.1428571,0.7935193,7417.9982,0.128534,0.7935193,0.128534
mn,2021-06-07,25.8571429,0.4421645,2799.1082,0.1173245,0.4421645,0.1173245
mo,2021-06-07,61.8571429,1.0907963,3137.0827,0.2435883,1.0907963,0.2435883
ms,2021-06-07,34,0.9938043,1559.396,0.2970198,0.9938043,0.2970198
mt,2021-06-07,15.8571429,0.4614955,795.8203,0.2130082,0.4614955,0.2130082
nc,2021-06-07,61.4285714,1.0058354,5250.0073,0.2267654,1.0058354,0.2267654
nd,2021-06-07,5,1.2491491,415.3671,0.5705094,1.2491491,0.5705094
ne,2021-06-07,5.5714286,0.6715405,1220.8426,0.2830718,0.6715405,0.2830718
nh,2021-06-07,3.8571429,0.2149613,1039,0.1298771,0.2149613,0.1298771
nj,2021-06-07,45.7142857,0.5225353,4075.9984,0.1630521,0.5225353,0.1630521
nm,2021-06-07,14.1428571,0.7917356,1644.9139,0.2465887,0.7917356,0.2465887
nv,2021-06-07,28.1428571,0.5380018,1391.8011,0.1806171,0.5380018,0.1806171
ny,2021-06-07,96.1428571,0.4214096,8696.0002,0.0847222,0.4214096,0.0847222
oh,2021-06-07,88.8571429,0.8147224,6987.0014,0.1264538,0.8147224,0.1264538
ok,2021-06-07,24.7142857,0.8489955,1921.7562,0.1997716,0.8489955,0.1997716
or,2021-06-07,24.2857143,0.9617409,3001.0223,0.2317171,0.9617409,0.2317171
pa,2021-06-07,91.2857143,0.6021765,7309.0038,0.091629,0.6021765,0.091629
pr,2021-06-07,3.5714286,,,,,
ri,2021-06-07,2,0.6047616,723.9865,0.2638815,0.6047616,0.2638815
sc,2021-06-07,18.7142857,0.8269241,3147.0023,0.1553618,0.8269241,0.1553618
sd,2021-06-07,4.4285714,0.5615644,570.3423,0.265546,0.5615644,0.265546
tn,2021-06-07,36.7142857,0.7138226,3592.0151,0.1653516,0.7138226,0.1653516
tx,2021-06-07,223.1428571,0.8389472,11717.2595,0.1109387,0.8389472,0.1109387
ut,2021-06-07,24,0.8376182,1682.3222,0.2886387,0.8376182,0.2886387
va,2021-06-07,31.4285714,0.6655336,4805.5819,0.1560846,0.6655336,0.1560846
vi,2021-06-07,0.5714286,,,,,
vt,2021-06-07,0.8571429,0.4284023,556.0008,0.2483314,0.4284023,0.2483314
wa,2021-06-07,57.7142857,0.8124827,4975.9769,0.1774696,0.8124827,0.1774696
wi,2021-06-07,38.7142857,0.8052035,3476.0039,0.1804571,0.8052035,0.1804571
wv,2021-06-07,16.5714286,1.3715141,1346.0551,0.8546668,1.3715141,0.8546668
wy,2021-06-07,10.4285714,1.8095804,404.9566,0.7043012,1.8095804,0.7043012
ak,2021-06-08,2.7142857,1.311695,468,1.0147383,1.311695,1.0147383
al,2021-06-08,32,1.1583817,2482.0827,0.2540091,1.1583817,0.2540091
ar,2021-06-08,38.5714286,0.9850383,1721.5905,0.2528795,0.9850383,0.2528795
az,2021-06-08,54.2857143,1.1772188,3798.7735,0.2361585,1.1772188,0.2361585
ca,2021-06-08,156.1428571,0.6538557,15222.1927,0.0834216,0.6538557,0.0834216
co,2021-06-08,62.1428571,0.6647439,3281.8746,0.1444409,0.6647439,0.1444409
ct,2021-06-08,13.2857143,0.7999395,2385,0.2237517,0.7999395,0.2237517
dc,2021-06-08,5.8571429,0.5828164,249,0.6129156,0.5828164,0.6129156
de,2021-06-08,3.8571429,0.9930597,771,0.416506,0.9930597,0.416506
fl,2021-06-08,255.8571429,0.9494605,11162.0011,0.1007978,0.9494605,0.1007978
ga,2021-06-08,102.8571429,0.9703954,4244.9424,0.1953429,0.9703954,0.1953429
hi,2021-06-08,2.7142857,0.2581158,766,0.2077784,0.2581158,0.2077784
ia,2021-06-08,14.1428571,0.7772349,2334.381,0.2300185,0.7772349,0.2300185
id,2021-06-08,12,1.1553237,1126.047,0.321253,1.1553237,0.321253
il,2021-06-08,82.4285714,0.7417388,6888.0216,0.1117089,0.7417388,0.1117089
in,2021-06-08,46.8571429,1.0691204,3840.0045,0.186765,1.0691204,0.186765
ks,2021-06-08,14.5714286,0.8118439,1660.1461,0.2299245,0.8118439,0.2299245
