,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
44,wa,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,93.2209926,0.9203903,745.9947,state,fb-survey
45,wi,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,86.3211063,1.3647425,633.9668,state,fb-survey
46,wv,smoothed_wwearing_mask_7d,2021-02-09,2021-03-17,36,89.4909394,1.9092426,258.0006,state,fb-survey
47,ak,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,86.3045857,2.5554373,181.0,state,fb-survey
48,al,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,90.6834185,1.0515706,764.025,state,fb-survey
49,ar,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,83.0856688,1.5855516,559.0108,state,fb-survey
50,az,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,91.8167919,0.7873733,1211.949,state,fb-survey
51,ca,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,96.0722049,0.2752672,4980.0949,state,fb-survey
52,co,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.8249275,0.7882437,1071.9386,state,fb-survey
53,ct,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,96.8979558,0.6260134,767.0,state,fb-survey
54,dc,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,98.0118419,1.3249615,111.0,state,fb-survey
55,de,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,97.5474873,0.9666906,256.0073,state,fb-survey
56,fl,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,90.3366632,0.4752485,3865.0007,state,fb-survey
57,ga,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,88.1533917,0.8498362,1445.9809,state,fb-survey
58,hi,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,98.1598669,0.8517103,249.0,state,fb-survey
59,ia,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,88.1949529,1.1248417,822.8651,state,fb-survey
60,id,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,80.6240866,1.875102,444.3009,state,fb-survey
61,il,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,93.5374909,0.5078256,2344.0008,state,fb-survey
62,in,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,89.1110592,0.8803519,1252.0008,state,fb-survey
63,ks,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,90.24796,1.1801773,631.8855,state,fb-survey
64,ky,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,89.2712379,1.0327435,897.9997,state,fb-survey
65,la,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,89.2026973,1.0851007,817.9998,state,fb-survey
66,ma,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,96.1368638,0.5910821,1063.0025,state,fb-survey
67,md,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,97.0027939,0.5514716,955.9926,state,fb-survey
68,me,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.275527,1.3450226,394.0,state,fb-survey
69,mi,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.9447788,0.5118388,2503.0485,state,fb-survey
70,mn,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,91.0518503,0.90444,996.0072,state,fb-survey
71,mo,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,86.6883495,1.0083145,1135.0124,state,fb-survey
72,ms,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,87.9722491,1.4120771,530.6563,state,fb-survey
73,mt,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,83.6199463,2.1306219,301.7258,state,fb-survey
74,nc,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,90.1938466,0.6828162,1897.0026,state,fb-survey
75,nd,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,81.6158374,3.2575704,141.3939,state,fb-survey
76,ne,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,84.6086284,1.8898006,364.6364,state,fb-survey
77,nh,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.7398702,1.3346259,378.0,state,fb-survey
78,nj,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,95.903971,0.5557205,1271.9992,state,fb-survey
79,nm,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,94.3746813,0.892751,666.1038,state,fb-survey
80,nv,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,93.7045129,1.1412777,452.9051,state,fb-survey
81,ny,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,96.5685264,0.336126,2933.0001,state,fb-survey
82,oh,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.5196348,0.5431432,2346.0003,state,fb-survey
83,ok,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,84.985245,1.1899837,901.114,state,fb-survey
84,or,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,93.8194892,0.8000504,905.9051,state,fb-survey
85,pa,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,91.5392951,0.554159,2522.0013,state,fb-survey
86,ri,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.6224922,1.7995935,210.9975,state,fb-survey
87,sc,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,90.3631646,0.8608826,1175.0003,state,fb-survey
88,sd,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,73.6776377,3.0879206,203.3894,state,fb-survey
89,tn,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,85.0961093,1.050617,1149.0013,state,fb-survey
90,tx,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,91.9582727,0.4223851,4144.9846,state,fb-survey
91,ut,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,91.985741,1.1056388,603.0556,state,fb-survey
92,va,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,93.746618,0.5620334,1855.8647,state,fb-survey
93,vt,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,94.4655065,1.7186545,177.0003,state,fb-survey
94,wa,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,92.8612847,0.6535566,1551.9878,state,fb-survey
95,wi,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,85.8722023,0.9754764,1274.9512,state,fb-survey
96,wv,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,89.919416,1.320284,520.0013,state,fb-survey
97,wy,smoothed_wwearing_mask_7d,2021-02-10,2021-03-17,35,79.2497403,3.3029844,150.733,state,fb-survey
98,ak,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,83.6985332,2.1841841,286.0,state,fb-survey
99,al,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,89.8274145,0.8668581,1216.0297,state,fb-survey
100,ar,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,85.202219,1.2302639,833.0114,state,fb-survey
101,az,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,91.5718557,0.649034,1832.1416,state,fb-survey
102,ca,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,95.523334,0.2392593,7470.1046,state,fb-survey
103,co,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,92.5816193,0.659131,1580.849,state,fb-survey
104,ct,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,96.9813524,0.5043275,1151.0,state,fb-survey
105,dc,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,98.0436534,1.0881159,162.0,state,fb-survey
106,de,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,97.8326286,0.7549754,372.0073,state,fb-survey
107,fl,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,89.5077731,0.4014939,5826.0007,state,fb-survey
108,ga,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,88.0272515,0.7029304,2132.9779,state,fb-survey
109,hi,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,96.4334228,0.9589673,374.0,state,fb-survey
110,ia,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,87.3474558,0.9678433,1179.8261,state,fb-survey
111,id,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,80.2198983,1.5766639,638.3111,state,fb-survey
112,il,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,93.8306512,0.4087336,3465.0011,state,fb-survey
113,in,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,89.6532667,0.7056318,1863.0009,state,fb-survey
114,ks,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,90.0674084,0.9808752,929.8283,state,fb-survey
115,ky,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,90.4070622,0.7988527,1359.0035,state,fb-survey
116,la,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,86.265429,0.974749,1246.9996,state,fb-survey
117,ma,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,95.9712809,0.4956228,1574.0035,state,fb-survey
118,md,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,96.7821575,0.4693065,1413.9922,state,fb-survey
119,me,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,93.0878642,1.0179041,621.0,state,fb-survey
120,mi,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,92.9336783,0.4227766,3674.0469,state,fb-survey
121,mn,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,92.1083315,0.6966659,1497.6788,state,fb-survey
122,mo,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,85.900226,0.8495812,1678.0182,state,fb-survey
123,ms,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,89.2169157,1.095559,801.528,state,fb-survey
124,mt,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,84.9179995,1.6989627,443.7016,state,fb-survey
125,nc,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,90.6116556,0.5456714,2857.0031,state,fb-survey
126,nd,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,83.3283732,2.4873635,224.5393,state,fb-survey
127,ne,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,85.1098949,1.5310296,540.6431,state,fb-survey
128,nh,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,92.7862557,1.0817432,572.0,state,fb-survey
129,nj,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,96.0597398,0.4495359,1872.9989,state,fb-survey
130,nm,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,94.0720951,0.7585362,969.1911,state,fb-survey
131,nv,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,94.1179596,0.9236616,648.8954,state,fb-survey
132,ny,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,96.8608944,0.2642913,4353.0,state,fb-survey
133,oh,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,92.2767329,0.4528654,3475.0012,state,fb-survey
134,ok,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,84.9236654,0.9874194,1313.1706,state,fb-survey
135,or,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,93.0791135,0.689274,1355.9077,state,fb-survey
136,pa,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,91.7854964,0.4509894,3707.0018,state,fb-survey
137,ri,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,93.830141,1.3165515,333.9965,state,fb-survey
138,sc,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,91.0953223,0.6845552,1731.001,state,fb-survey
139,sd,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,74.2206316,2.5021688,305.6073,state,fb-survey
140,tn,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,84.539935,0.8709519,1722.9983,state,fb-survey
141,tx,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,92.1159389,0.3420873,6205.9872,state,fb-survey
142,ut,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,90.6656426,0.9813014,878.8654,state,fb-survey
143,va,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,93.7820375,0.4591018,2766.6219,state,fb-survey
144,vt,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,94.379063,1.3965527,272.0005,state,fb-survey
145,wa,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,93.9424509,0.4987155,2287.9845,state,fb-survey
146,wi,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,87.1397586,0.7783098,1849.9519,state,fb-survey
147,wv,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,90.672208,1.0583027,755.15,state,fb-survey
148,wy,smoothed_wwearing_mask_7d,2021-02-11,2021-03-17,34,79.4123125,2.7215125,220.7368,state,fb-survey
149,ak,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,84.2276658,1.8066672,407.0,state,fb-survey
150,al,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,89.3902843,0.7524613,1675.0419,state,fb-survey
151,ar,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,86.4745191,0.9865815,1201.6416,state,fb-survey
152,az,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,91.9023476,0.5403836,2548.4808,state,fb-survey
153,ca,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,95.2865351,0.2065473,10527.6786,state,fb-survey
154,co,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,91.9208309,0.5789223,2215.8487,state,fb-survey
155,ct,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,97.1550317,0.4164158,1594.0,state,fb-survey
156,dc,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,97.8725748,0.9577336,227.0,state,fb-survey
157,de,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,97.5153367,0.682594,520.0146,state,fb-survey
158,fl,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,89.2654358,0.3443723,8080.0007,state,fb-survey
159,ga,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,87.2791161,0.6119329,2964.9676,state,fb-survey
160,hi,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,96.940267,0.7552526,520.0,state,fb-survey
161,ia,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,87.1496847,0.8239236,1649.703,state,fb-survey
162,id,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,79.1685049,1.3795219,866.594,state,fb-survey
163,il,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,93.7394895,0.3466042,4885.0015,state,fb-survey
164,in,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,89.7428758,0.5909354,2636.0007,state,fb-survey
