,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
46,vt,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,94.8600368,0.7279933,920.0015,state,fb-survey
47,wa,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,94.0881848,0.2787423,7158.9624,state,fb-survey
48,wi,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,88.8082033,0.4217458,5587.9362,state,fb-survey
49,wv,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,88.560148,0.6345484,2516.1074,state,fb-survey
50,wy,smoothed_wwearing_mask,2021-01-01,2021-01-06,5,75.7100449,1.6143056,705.6815,state,fb-survey
51,ak,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,84.8772451,1.2619541,806.0,state,fb-survey
52,al,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,88.1899198,0.4976762,4205.1163,state,fb-survey
53,ar,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,88.3762302,0.5723443,3135.94,state,fb-survey
54,az,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,91.3896864,0.3664184,5860.8644,state,fb-survey
55,ca,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,95.3324858,0.1296929,26454.1741,state,fb-survey
56,co,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,92.5131078,0.3574572,5420.717,state,fb-survey
57,ct,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,96.2020666,0.2945247,4212.0,state,fb-survey
58,dc,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,97.179255,0.8186665,409.0,state,fb-survey
59,de,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,96.1164467,0.534003,1309.0,state,fb-survey
60,fl,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,88.107292,0.2415826,17954.0013,state,fb-survey
61,ga,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,84.0675793,0.4497416,6621.923,state,fb-survey
62,hi,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,95.8389625,0.6286751,1009.0,state,fb-survey
63,ia,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,85.8647193,0.5672858,3771.5109,state,fb-survey
64,id,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,80.5564395,0.8724471,2057.7746,state,fb-survey
65,il,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,93.3215665,0.2290735,11876.9994,state,fb-survey
66,in,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,88.9916365,0.3873285,6529.9988,state,fb-survey
67,ks,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,88.3815991,0.5695055,3166.0105,state,fb-survey
68,ky,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,90.4976982,0.4423518,4394.7163,state,fb-survey
69,la,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,86.7963886,0.5271429,4124.1812,state,fb-survey
70,ma,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,95.2749335,0.2834539,5603.015,state,fb-survey
71,md,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,96.4314325,0.274259,4574.9973,state,fb-survey
72,me,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,93.5413439,0.5371364,2094.0,state,fb-survey
73,mi,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,92.3156428,0.2502331,11329.0461,state,fb-survey
74,mn,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,92.2783045,0.3917279,4643.4757,state,fb-survey
75,mo,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,85.5540622,0.4879896,5189.9738,state,fb-survey
76,ms,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,86.9529357,0.6487722,2695.3336,state,fb-survey
77,mt,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,85.1933489,0.9594669,1370.2587,state,fb-survey
78,nc,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,91.2562345,0.2762866,10453.0125,state,fb-survey
79,nd,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,83.5695077,1.3678745,733.8477,state,fb-survey
80,ne,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,86.9358971,0.759366,1969.5926,state,fb-survey
81,nh,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,93.9555868,0.5400766,1947.0,state,fb-survey
82,nj,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,95.1439427,0.2676825,6447.9975,state,fb-survey
83,nm,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,92.748821,0.5103477,2582.1689,state,fb-survey
84,nv,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,93.8003167,0.5220957,2133.4063,state,fb-survey
85,ny,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,95.8192902,0.167748,14236.0024,state,fb-survey
86,oh,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,91.6784459,0.2520474,12009.0063,state,fb-survey
