,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
47,wa,smoothed_wearing_mask,2021-01-01,2021-01-06,5,95.7786717,0.2375483,7164.9624,state,fb-survey
48,wi,smoothed_wearing_mask,2021-01-01,2021-01-06,5,91.461058,0.3737471,5590.9363,state,fb-survey
49,wv,smoothed_wearing_mask,2021-01-01,2021-01-06,5,92.1995982,0.5344239,2518.1074,state,fb-survey
50,wy,smoothed_wearing_mask,2021-01-01,2021-01-06,5,79.2733077,1.5258932,705.6815,state,fb-survey
51,ak,smoothed_wearing_mask,2021-01-02,2021-01-07,5,88.4138786,1.1273577,806.0,state,fb-survey
52,al,smoothed_wearing_mask,2021-01-02,2021-01-07,5,90.6439415,0.4490832,4205.1163,state,fb-survey
53,ar,smoothed_wearing_mask,2021-01-02,2021-01-07,5,91.5030147,0.4978483,3136.94,state,fb-survey
54,az,smoothed_wearing_mask,2021-01-02,2021-01-07,5,92.743693,0.3388013,5862.8644,state,fb-survey
55,ca,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.1262564,0.1186019,26472.1741,state,fb-survey
56,co,smoothed_wearing_mask,2021-01-02,2021-01-07,5,94.0409494,0.3213501,5426.717,state,fb-survey
57,ct,smoothed_wearing_mask,2021-01-02,2021-01-07,5,97.0455624,0.2608732,4213.0,state,fb-survey
58,dc,smoothed_wearing_mask,2021-01-02,2021-01-07,5,98.6585366,0.5688465,409.0,state,fb-survey
59,de,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.9870328,0.4723005,1310.0,state,fb-survey
60,fl,smoothed_wearing_mask,2021-01-02,2021-01-07,5,89.9938751,0.2238979,17963.0013,state,fb-survey
61,ga,smoothed_wearing_mask,2021-01-02,2021-01-07,5,87.5547897,0.4055864,6623.923,state,fb-survey
62,hi,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.8811881,0.5472285,1009.0,state,fb-survey
63,ia,smoothed_wearing_mask,2021-01-02,2021-01-07,5,89.7825186,0.4931853,3771.5109,state,fb-survey
64,id,smoothed_wearing_mask,2021-01-02,2021-01-07,5,83.8652757,0.8105168,2059.7746,state,fb-survey
65,il,smoothed_wearing_mask,2021-01-02,2021-01-07,5,94.535128,0.2084996,11883.9994,state,fb-survey
66,in,smoothed_wearing_mask,2021-01-02,2021-01-07,5,91.6500796,0.3422824,6531.9988,state,fb-survey
67,ks,smoothed_wearing_mask,2021-01-02,2021-01-07,5,91.1176525,0.5055224,3167.0105,state,fb-survey
68,ky,smoothed_wearing_mask,2021-01-02,2021-01-07,5,93.1868374,0.3800898,4394.7163,state,fb-survey
69,la,smoothed_wearing_mask,2021-01-02,2021-01-07,5,89.3779081,0.4796157,4127.1812,state,fb-survey
70,ma,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.2986007,0.2521765,5605.015,state,fb-survey
71,md,smoothed_wearing_mask,2021-01-02,2021-01-07,5,97.323575,0.2385853,4575.9973,state,fb-survey
72,me,smoothed_wearing_mask,2021-01-02,2021-01-07,5,95.2074392,0.4665773,2096.0,state,fb-survey
73,mi,smoothed_wearing_mask,2021-01-02,2021-01-07,5,94.3296577,0.2172766,11330.0461,state,fb-survey
74,mn,smoothed_wearing_mask,2021-01-02,2021-01-07,5,93.8526274,0.3524517,4644.4757,state,fb-survey
75,mo,smoothed_wearing_mask,2021-01-02,2021-01-07,5,88.2825083,0.4464062,5190.9738,state,fb-survey
76,ms,smoothed_wearing_mask,2021-01-02,2021-01-07,5,90.162103,0.5735567,2696.3336,state,fb-survey
77,mt,smoothed_wearing_mask,2021-01-02,2021-01-07,5,87.3227694,0.8984962,1371.2587,state,fb-survey
78,nc,smoothed_wearing_mask,2021-01-02,2021-01-07,5,93.2648102,0.2450691,10459.0125,state,fb-survey
79,nd,smoothed_wearing_mask,2021-01-02,2021-01-07,5,88.1744612,1.1920073,733.8477,state,fb-survey
80,ne,smoothed_wearing_mask,2021-01-02,2021-01-07,5,89.8799072,0.6795718,1969.5926,state,fb-survey
81,nh,smoothed_wearing_mask,2021-01-02,2021-01-07,5,95.4568789,0.471952,1947.0,state,fb-survey
82,nj,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.1019839,0.2409764,6450.9975,state,fb-survey
83,nm,smoothed_wearing_mask,2021-01-02,2021-01-07,5,94.7562691,0.4384941,2584.1689,state,fb-survey
